"Day","Month","Year","Frequency"
"12","6","1948","1"
"25","6","1915","8"
"6","0","1983","76"
"16","1","1948","1"
"18","1","1994","78"
"27","5","1980","69"
"18","7","1963","5"
"1","2","1955","12"
"6","5","2009","17"
"5","0","1959","8"
"12","2","1953","1"
"21","3","1913","4"
"13","8","1946","3"
"23","1","2005","74"
"18","5","1993","128"
"7","3","1936","3"
"25","3","1984","96"
"25","9","2001","28"
"22","4","1918","4"
"17","5","1994","98"
"12","2","1998","24"
"28","8","1988","160"
"10","6","1991","146"
"15","8","2012","13"
"29","3","1962","5"
"15","6","1955","4"
"19","8","1948","1"
"15","1","1916","9"
"12","8","1936","10"
"10","4","1938","5"
"14","8","1973","19"
"13","10","1979","72"
"27","6","1977","38"
"15","11","1984","125"
"1","0","1962","9"
"9","2","1980","55"
"15","4","1959","5"
"26","4","1939","1"
"16","9","1992","156"
"26","5","2003","42"
"2","6","1923","12"
"6","11","1997","30"
"3","5","1988","130"
"1","6","1912","1"
"29","11","1972","11"
"22","6","1986","139"
"19","9","2005","76"
"14","10","1938","5"
"30","11","2007","65"
"19","3","1935","7"
"22","0","1933","38"
"20","9","1982","63"
"18","1","1916","5"
"21","4","1946","3"
"26","5","1967","8"
"22","3","1925","14"
"22","7","1952","1"
"17","6","1969","13"
"1","7","1983","70"
"24","7","1935","13"
"16","11","1913","12"
"25","7","1940","3"
"5","6","1970","14"
"6","5","2012","2"
"28","11","1976","47"
"22","8","2009","17"
"16","6","1978","49"
"12","2","1920","10"
"14","3","1975","21"
"11","6","1972","16"
"1","2","1990","332"
"11","10","1927","12"
"27","4","2008","55"
"11","4","1960","4"
"11","2","1993","122"
"27","2","1998","22"
"8","1","1983","43"
"21","5","1956","5"
"18","8","1921","13"
"3","11","1915","7"
"10","7","1986","122"
"2","2","1992","274"
"28","8","1960","6"
"22","5","1945","2"
"9","6","1964","8"
"31","11","1930","5"
"21","10","1916","15"
"17","1","1930","10"
"20","4","1966","7"
"6","4","1951","1"
"13","6","2001","35"
"19","9","1959","7"
"22","0","1993","200"
"14","10","1942","4"
"3","0","1967","9"
"18","5","1942","4"
"10","7","1949","2"
"12","0","1946","27"
"9","1","1979","21"
"3","5","1958","2"
"30","6","1976","21"
"8","9","1965","4"
"22","6","1914","9"
"11","1","1928","5"
"1","7","1965","4"
"10","9","1959","5"
"21","3","2012","11"
"1","10","2012","19"
"9","3","2003","30"
"5","9","1984","89"
"8","3","1935","2"
"20","1","1996","61"
"21","2","1965","6"
"26","8","1989","166"
"29","5","1941","1"
"16","11","1972","16"
"7","11","1999","19"
"30","8","2002","36"
"2","10","1914","11"
"23","7","1935","1"
"20","2","1931","16"
"15","3","1914","4"
"30","10","2003","56"
"18","6","1932","11"
"18","8","1936","8"
"14","5","1988","147"
"22","6","1996","59"
"16","10","1995","104"
"25","6","1969","19"
"7","2","1928","7"
"10","4","1988","154"
"4","4","1938","1"
"31","7","1923","13"
"15","6","2010","4"
"16","6","1918","3"
"24","7","1996","52"
"26","11","2008","28"
"7","2","2005","58"
