Word,Freq. Difference,Rel. Frequency - Passwords,Rel. Frequency - BNC,Freq. Sum,Abs. Freq. - Passwords,Abs. Freq. - BNC
i,0.030152883,0.039196684,0.009043802,0.048240486,1584120,905323
a,0.030127318,0.051613768,0.02148645,0.073100218,2085952,2150885
love,0.013199473,0.013433819,2.34E-04,0.013668165,542923,23459
baby,0.005112855,0.005203461,9.06E-05,0.005294066,210296,9070
me,0.004275872,0.005664704,0.001388832,0.007053536,228937,139028
girl,0.00352131,0.003678766,1.57E-04,0.003836221,148676,15762
la,0.002977106,0.003024597,4.75E-05,0.003072087,122238,4754
ita,0.002735313,0.002736112,7.99E-07,0.002736911,110579,80
sexy,0.002731549,2.74E-03,6.49E-06,0.002744535,110657,650
password,0.002450581,0.002454407,3.83E-06,0.002458233,99194,383
em,0.002285269,2.29E-03,5.01E-06,0.002295299,92561,502
boy,0.002276811,2.41E-03,1.33E-04,0.002542334,97382,13290
co,0.002100404,0.002144718,4.43E-05,0.002189031,86678,4436
angel,0.002077602,0.002092756,1.52E-05,0.002107911,84578,1517
lil,0.001948159,0.001949937,1.78E-06,0.001951715,78806,178
rock,0.001912786,1.98E-03,6.77E-05,0.002048204,80041,6778
ito,0.001856671,0.001856951,2.80E-07,0.00185723,75048,28
hot,0.001735676,0.001826541,9.09E-05,0.001917406,73819,9096
ic,0.001730486,0.001731105,6.19E-07,0.001731725,69962,62
princess,0.00169155,0.001721059,2.95E-05,0.001750569,69556,2954
man,0.001586466,2.21E-03,6.20E-04,0.002827132,89187,62098
team,0.001546957,1.74E-03,1.89E-04,0.001925003,70159,18922
fuck,0.001497639,1.51E-03,1.41E-05,0.00152577,61095,1408
hi,0.001348728,1.36E-03,1.03E-05,0.001369247,54923,1027
pink,0.001319603,1.35E-03,3.35E-05,0.001386693,54687,3358
sha,0.001307776,1.31E-03,5.63E-06,0.001319044,53081,564
dog,0.001162754,1.24E-03,8.07E-05,0.001324166,50254,8079
abc,0.001146789,0.001150326,3.54E-06,0.001153862,46490,354
jay,0.001142148,1.15E-03,9.39E-06,0.001160928,46539,940
ok,0.001132572,1.16E-03,2.87E-05,0.001189952,46932,2872
blue,0.001131658,1.24E-03,1.05E-04,0.00134096,49965,10476
ana,0.00111043,1.11E-03,4.22E-06,0.001118861,45048,422
cat,0.001093897,0.001133376,3.95E-05,0.001172855,45805,3952
cute,0.001092432,0.001095469,3.04E-06,0.001098506,44273,304
lover,0.00106414,0.001081761,1.76E-05,0.001099383,43719,1764
ms,0.001063746,1.08E-03,1.69E-05,0.001097451,43672,1687
monkey,0.001059676,1.07E-03,5.80E-06,0.001071284,43061,581
com,0.001041286,0.001042865,1.58E-06,0.001044443,42147,158
lee,0.001039767,1.08E-03,3.70E-05,0.001113809,43518,3706
big,0.00103868,1.29E-03,2.56E-04,0.001549787,52306,25582
jesus,0.001012217,0.001067509,5.53E-05,0.001122801,43143,5535
chris,0.001011324,0.001056127,4.48E-05,0.00110093,42683,4485
dr,0.001004404,1.12E-03,1.12E-04,0.001228351,45118,11209
bear,9.95E-04,1.05E-03,5.79E-05,0.001110642,42545,5799
boo,9.94E-04,9.96E-04,2.39E-06,9.98E-04,40257,239
life,9.91E-04,0.001556713,5.66E-04,0.002122403,62914,56628
gurl,9.86E-04,9.86E-04,9.99E-09,9.86E-04,39836,1
mar,9.86E-04,9.90E-04,4.14E-06,9.94E-04,40002,414
mom,9.61E-04,9.63E-04,2.63E-06,9.66E-04,38925,263
sam,9.58E-04,9.89E-04,3.13E-05,0.001020755,39989,3132
ed,9.38E-04,9.54E-04,1.65E-05,9.71E-04,38565,1654
bitch,9.31E-04,9.41E-04,9.36E-06,9.50E-04,38015,937
lyn,9.01E-04,9.04E-04,2.46E-06,9.06E-04,36515,246
red,8.97E-04,1.05E-03,1.51E-04,0.001199535,42368,15136
nicole,8.85E-04,8.87E-04,1.59E-06,8.88E-04,35829,159
cool,8.74E-04,9.14E-04,3.97E-05,9.54E-04,36941,3971
soccer,8.64E-04,8.78E-04,1.32E-05,8.91E-04,35470,1324
bi,8.61E-04,8.62E-04,1.26E-06,8.64E-04,34852,126
sweet,8.46E-04,8.82E-04,3.65E-05,9.19E-04,35649,3652
daniel,8.28E-04,8.43E-04,1.52E-05,8.58E-04,34071,1521
wert,8.20E-04,8.20E-04,1.40E-07,8.21E-04,33155,14
tar,8.13E-04,8.16E-04,2.45E-06,8.18E-04,32959,245
eva,8.05E-04,8.14E-04,9.37E-06,8.23E-04,32898,938
star,7.95E-04,8.61E-04,6.63E-05,9.27E-04,34796,6637
mama,7.91E-04,7.97E-04,5.55E-06,8.02E-04,32207,556
ever,7.90E-04,1.05E-03,2.59E-04,0.001307647,42390,25904
pi,7.87E-04,7.93E-04,6.14E-06,7.99E-04,32063,615
mon,7.77E-04,7.82E-04,5.42E-06,7.88E-04,31623,543
hello,7.59E-04,7.97E-04,3.84E-05,8.35E-04,32211,3847
ste,7.47E-04,7.48E-04,3.80E-07,7.48E-04,30212,38
kitty,7.34E-04,7.37E-04,3.93E-06,7.41E-04,29805,393
ina,7.26E-04,7.27E-04,5.79E-07,7.27E-04,29376,58
james,7.23E-04,8.25E-04,1.02E-04,9.27E-04,33347,10197
ass,7.23E-04,7.26E-04,3.20E-06,7.29E-04,29350,320
alex,7.21E-04,7.40E-04,1.89E-05,7.59E-04,29920,1896
chi,7.17E-04,7.20E-04,2.64E-06,7.22E-04,29081,264
sex,7.08E-04,7.92E-04,8.33E-05,8.75E-04,31993,8341
jordan,7.00E-04,7.14E-04,1.44E-05,7.29E-04,28864,1443
maria,6.98E-04,7.20E-04,2.17E-05,7.42E-04,29094,2175
ashley,6.92E-04,7.02E-04,1.06E-05,7.13E-04,28389,1058
bob,6.88E-04,7.33E-04,4.51E-05,7.78E-04,29633,4519
ball,6.86E-04,7.61E-04,7.57E-05,8.37E-04,30769,7573
ea,6.62E-04,6.65E-04,2.06E-06,6.67E-04,26857,206
cutie,6.61E-04,6.61E-04,6.99E-08,6.61E-04,26701,7
pooh,6.57E-04,6.59E-04,1.57E-06,6.60E-04,26625,157
ann,6.46E-04,6.66E-04,1.95E-05,6.85E-04,26906,1952
kay,6.44E-04,6.48E-04,4.55E-06,6.53E-04,26200,455
qui,6.43E-04,6.45E-04,1.37E-06,6.46E-04,26060,137
cha,6.43E-04,6.45E-04,1.50E-06,6.46E-04,26064,150
michael,6.37E-04,7.32E-04,9.51E-05,8.27E-04,29582,9518
ako,6.35E-04,6.35E-04,4.99E-08,6.35E-04,25678,5
babe,6.35E-04,6.37E-04,2.01E-06,6.39E-04,25754,201
id,6.34E-04,6.39E-04,4.21E-06,6.43E-04,25813,421
tigger,6.34E-04,6.34E-04,1.30E-07,6.34E-04,25630,13
john,6.33E-04,9.62E-04,3.28E-04,0.001289706,38859,32854
marie,6.31E-04,6.49E-04,1.81E-05,6.67E-04,26240,1816
den,6.29E-04,6.34E-04,4.85E-06,6.39E-04,25625,486
jose,6.26E-04,6.30E-04,3.88E-06,6.34E-04,25462,388
green,6.19E-04,7.65E-04,1.46E-04,9.11E-04,30920,14637
jessica,6.16E-04,6.23E-04,7.08E-06,6.30E-04,25186,709
ers,6.15E-04,6.15E-04,2.60E-07,6.15E-04,24847,26
purple,6.11E-04,6.24E-04,1.31E-05,6.37E-04,25203,1309
ash,6.09E-04,6.22E-04,1.26E-05,6.35E-04,25141,1263
daddy,5.97E-04,6.19E-04,2.20E-05,6.41E-04,25012,2198
pie,5.97E-04,6.08E-04,1.16E-05,6.20E-04,24588,1159
justin,5.94E-04,5.97E-04,2.83E-06,6.00E-04,24140,283
fu,5.93E-04,5.94E-04,1.05E-06,5.95E-04,23994,105
honey,5.86E-04,6.01E-04,1.48E-05,6.16E-04,24297,1479
joe,5.85E-04,6.29E-04,4.33E-05,6.72E-04,25409,4337
jan,5.85E-04,5.99E-04,1.42E-05,6.14E-04,24224,1420
carlos,5.82E-04,5.89E-04,6.25E-06,5.95E-04,23790,626
juan,5.82E-04,5.87E-04,4.64E-06,5.91E-04,23704,464
lady,5.81E-04,6.78E-04,9.71E-05,7.75E-04,27414,9722
loves,5.80E-04,5.94E-04,1.38E-05,6.08E-04,24012,1385
kat,5.80E-04,5.80E-04,7.69E-07,5.81E-04,23452,77
luis,5.76E-04,5.78E-04,2.58E-06,5.81E-04,23365,258
mail,5.73E-04,6.07E-04,3.41E-05,6.41E-04,24526,3409
anthony,5.67E-04,5.91E-04,2.37E-05,6.15E-04,23888,2369
dan,5.65E-04,5.75E-04,9.89E-06,5.85E-04,23233,990
mys,5.65E-04,5.65E-04,3.00E-08,5.65E-04,22821,3
