"Word","G2","G2 Ranking","Relative Frequency Difference Ranking","Relative Frequency Difference","Relative frequency - BNC","Relative frequency - Passwords","Absolute frequency - BNC","Absolute frequency - Passwords"
"the","-3592168.887574783","1","1","-0.06004047","0.061814826","0.0017743568","6187927","71710"
"of","-1649721.625559829","2","4","-0.028312033","0.029387262","0.001075229","2941790","43455"
"and","-1374251.59065842","3","5","-0.025230765","0.02680084","0.0015700745","2682878","63454"
"i","1298497.1736796654","4","2","0.030152883","0.009043802","0.039196685","905323","1584120"
"love","1173717.823424736","5","8","0.013199473","2.3434569E-4","0.013433819","23459","542923"
"to","-1045709.8856365506","6","6","-0.022541286","0.025576795","0.0030355086","2560346","122679"
"a","785167.6786143552","7","3","0.030127317","0.02148645","0.051613767","2150885","2085952"
"that","-713938.012514712","8","9","-0.011044664","0.011142204","9.7538905E-5","1115382","3942"
"was","-565565.9737183913","9","11","-0.009069813","0.009230127","1.6031318E-4","923975","6479"
"in","-552445.3443336788","10","7","-0.014840395","0.018813336","0.003972941","1883295","160565"
"for","-487221.0005941599","11","12","-0.0082359575","0.008508359","2.7240126E-4","851723","11009"
"baby","454722.886610735","12","16","0.0051128548","9.0605536E-5","0.0052034603","9070","210296"
"with","-413541.4575102702","13","14","-0.0064457143","0.006513709","6.7995155E-5","652050","2748"
"it","-378813.55433479423","14","10","-0.009104714","0.010884242","0.0017795282","1089559","71919"
"have","-294650.100871615","15","18","-0.0046650404","0.0047319965","6.695593E-5","473693","2706"
"they","-288035.09023984795","16","23","-0.0043190764","0.0043302355","1.1159322E-5","433475","451"
"girl","277351.8151596403","17","31","0.0035213097","1.5745584E-4","0.0036787656","15762","148676"
"ita","274333.1671883663","18","37","0.002735313","7.991668E-7","0.002736112","80","110579"
"sexy","268249.07143818977","19","38","0.002731549","6.4932306E-6","0.0027380423","650","110657"
"from","-268193.97396702203","20","27","-0.0041043945","0.0041310433","2.6648757E-5","413535","1077"
"but","-268008.84282605624","21","20","-0.0044374983","0.00455597","1.1847191E-4","456072","4788"
"la","267315.3067282515","22","34","0.0029771063","4.749049E-5","0.0030245967","4754","122238"
"this","-265985.13722210424","23","19","-0.004483346","0.0046275756","1.442299E-4","463240","5829"
"had","-259786.83893112256","24","22","-0.0043262965","0.0044493214","1.2302471E-4","445396","4972"
"which","-251110.68995418857","25","28","-0.0037146343","0.0037164653","1.8310195E-6","372034","74"
"password","242456.95611565484","26","42","0.0024505812","3.8260114E-6","0.0024544073","383","99194"
"his","-241792.63969077612","27","26","-0.004167301","0.004331474","1.6417317E-4","433599","6635"
"not","-229946.12458492446","28","24","-0.004316403","0.00462295","3.065473E-4","462777","12389"
"are","-228023.70329380428","29","21","-0.0043611703","0.0047045853","3.4341513E-4","470949","13879"
"em","224785.62098377716","30","46","0.002285269","5.014772E-6","0.0022902838","502","92561"
"were","-207627.686763867","31","33","-0.0031994719","0.0032249577","2.5485811E-5","322832","1030"
"there","-204300.5263600813","32","32","-0.0032308353","0.0032762643","4.542908E-5","327968","1836"
"angel","196562.05731210153","33","52","0.002077602","1.5154201E-5","0.0020927563","1517","84578"
"he","-195581.47449746286","34","15","-0.0053279228","0.0068066935","0.0014787709","681379","59764"
"lil","194003.39683362906","35","56","0.0019481586","1.7781462E-6","0.0019499367","178","78806"
"is","-192495.86015614678","36","13","-0.006726253","0.009978267","0.0032520143","998867","131429"
"she","-191003.0507183729","37","29","-0.0035574322","0.0037988795","2.4144714E-4","380284","9758"
"ito","186563.0353544434","38","62","0.001856671","2.797084E-7","0.0018569507","28","75048"
"co","183569.5058622555","39","50","0.002100404","4.43138E-5","0.0021447176","4436","86678"
"me","176961.3246513129","40","25","0.004275872","0.0013888321","0.005664704","139028","228937"
"their","-176052.35151402946","41","40","-0.0026050871","0.0026064727","1.3856363E-6","260919","56"
"ic","173412.71885961885","42","65","0.0017304858","6.193543E-7","0.0017311051","62","69962"
"been","-172795.03285782365","43","39","-0.0026631271","0.0026844314","2.1304159E-5","268723","861"
"would","-171465.79961465477","44","41","-0.00254665","0.002549322","2.6722987E-6","255198","108"
"boy","170465.25381209713","45","47","0.0022768106","1.3276159E-4","0.0024095722","13290","97382"
"rock","156501.14818391585","46","59","0.0019127856","6.770941E-5","0.001980495","6778","80041"
"princess","150663.04806968282","47","66","0.0016915501","2.9509234E-5","0.0017210593","2954","69556"
"fuck","139756.77974716233","48","74","0.0014976392","1.40653365E-5","0.0015117045","1408","61095"
"when","-139187.91895638293","49","48","-0.0021273405","0.0021405783","1.3237776E-5","214281","535"
"her","-133310.50014353773","50","36","-0.0028773458","0.0032667343","3.8938856E-4","327014","15737"
"said","-133162.33948916497","51","53","-0.002072101","0.0020931577","2.1056723E-5","209534","851"
"hot","132789.0237381074","52","64","0.0017356756","9.0865266E-5","0.0018265409","9096","73819"
"on","-129633.72259759696","53","17","-0.004737065","0.0072344276","0.0024973622","724197","100930"
"has","-128193.63588965722","54","43","-0.002416148","0.002591728","1.7557992E-4","259443","7096"
