Word,G2,G2 Ranking,Relative Frequency Difference Ranking,Relative Frequency Difference,Relative frequency - BNC,Relative frequency - Passwords,Absolute frequency - BNC,Absolute frequency - Passwords
the,-3592168.888,1,1,-0.06004047,0.061814826,0.001774357,6187927,71710
of,-1649721.626,2,4,-0.028312033,0.029387262,0.001075229,2941790,43455
and,-1374251.591,3,5,-0.025230765,0.02680084,0.001570075,2682878,63454
i,1298497.174,4,2,0.030152883,0.009043802,0.039196685,905323,1584120
love,1173717.823,5,8,0.013199473,2.34E-04,0.013433819,23459,542923
to,-1045709.886,6,6,-0.022541286,0.025576795,0.003035509,2560346,122679
a,785167.6786,7,3,0.030127317,0.02148645,0.051613767,2150885,2085952
that,-713938.0125,8,9,-0.011044664,0.011142204,9.75E-05,1115382,3942
was,-565565.9737,9,11,-0.009069813,0.009230127,1.60E-04,923975,6479
in,-552445.3443,10,7,-0.014840395,0.018813336,0.003972941,1883295,160565
for,-487221.0006,11,12,-0.008235958,0.008508359,2.72E-04,851723,11009
baby,454722.8866,12,16,0.005112855,9.06E-05,0.00520346,9070,210296
with,-413541.4575,13,14,-0.006445714,0.006513709,6.80E-05,652050,2748
it,-378813.5543,14,10,-0.009104714,0.010884242,0.001779528,1089559,71919
have,-294650.1009,15,18,-0.00466504,0.004731997,6.70E-05,473693,2706
they,-288035.0902,16,23,-0.004319076,0.004330236,1.12E-05,433475,451
girl,277351.8152,17,31,0.00352131,1.57E-04,0.003678766,15762,148676
ita,274333.1672,18,37,0.002735313,7.99E-07,0.002736112,80,110579
sexy,268249.0714,19,38,0.002731549,6.49E-06,0.002738042,650,110657
from,-268193.974,20,27,-0.004104395,0.004131043,2.66E-05,413535,1077
but,-268008.8428,21,20,-0.004437498,0.00455597,1.18E-04,456072,4788
la,267315.3067,22,34,0.002977106,4.75E-05,0.003024597,4754,122238
this,-265985.1372,23,19,-0.004483346,0.004627576,1.44E-04,463240,5829
had,-259786.8389,24,22,-0.004326297,0.004449321,1.23E-04,445396,4972
which,-251110.69,25,28,-0.003714634,0.003716465,1.83E-06,372034,74
password,242456.9561,26,42,0.002450581,3.83E-06,0.002454407,383,99194
his,-241792.6397,27,26,-0.004167301,0.004331474,1.64E-04,433599,6635
not,-229946.1246,28,24,-0.004316403,0.00462295,3.07E-04,462777,12389
are,-228023.7033,29,21,-0.00436117,0.004704585,3.43E-04,470949,13879
em,224785.621,30,46,0.002285269,5.01E-06,0.002290284,502,92561
were,-207627.6868,31,33,-0.003199472,0.003224958,2.55E-05,322832,1030
there,-204300.5264,32,32,-0.003230835,0.003276264,4.54E-05,327968,1836
angel,196562.0573,33,52,0.002077602,1.52E-05,0.002092756,1517,84578
he,-195581.4745,34,15,-0.005327923,0.006806694,0.001478771,681379,59764
lil,194003.3968,35,56,0.001948159,1.78E-06,0.001949937,178,78806
is,-192495.8602,36,13,-0.006726253,0.009978267,0.003252014,998867,131429
she,-191003.0507,37,29,-0.003557432,0.00379888,2.41E-04,380284,9758
ito,186563.0354,38,62,0.001856671,2.80E-07,0.001856951,28,75048
co,183569.5059,39,50,0.002100404,4.43E-05,0.002144718,4436,86678
me,176961.3247,40,25,0.004275872,0.001388832,0.005664704,139028,228937
their,-176052.3515,41,40,-0.002605087,0.002606473,1.39E-06,260919,56
ic,173412.7189,42,65,0.001730486,6.19E-07,0.001731105,62,69962
been,-172795.0329,43,39,-0.002663127,0.002684431,2.13E-05,268723,861
would,-171465.7996,44,41,-0.00254665,0.002549322,2.67E-06,255198,108
boy,170465.2538,45,47,0.002276811,1.33E-04,0.002409572,13290,97382
rock,156501.1482,46,59,0.001912786,6.77E-05,0.001980495,6778,80041
princess,150663.0481,47,66,0.00169155,2.95E-05,0.001721059,2954,69556
fuck,139756.7797,48,74,0.001497639,1.41E-05,0.001511705,1408,61095
when,-139187.919,49,48,-0.002127341,0.002140578,1.32E-05,214281,535
her,-133310.5001,50,36,-0.002877346,0.003266734,3.89E-04,327014,15737
said,-133162.3395,51,53,-0.002072101,0.002093158,2.11E-05,209534,851
hot,132789.0237,52,64,0.001735676,9.09E-05,0.001826541,9096,73819
on,-129633.7226,53,17,-0.004737065,0.007234428,0.002497362,724197,100930
has,-128193.6359,54,43,-0.002416148,0.002591728,1.76E-04,259443,7096
about,-127747.0681,55,55,-0.001956166,0.001969107,1.29E-05,197116,523
hi,127334.5962,56,80,0.001348728,1.03E-05,0.001358988,1027,54923
sha,126416.1034,57,85,0.001307776,5.63E-06,0.00131341,564,53081
what,-124928.3889,58,44,-0.002331899,0.002492212,1.60E-04,249481,6479
will,-117206.1761,59,45,-0.002323732,0.002543009,2.19E-04,254566,8862
at,-117067.7129,60,30,-0.003528168,0.0047768,0.001248632,478178,50463
we,-116181.0252,61,35,-0.002926649,0.003584183,6.58E-04,358792,26574
pink,112916.3613,62,82,0.001319603,3.35E-05,0.001353148,3358,54687
could,-112838.9719,63,67,-0.001679816,0.001682166,2.35E-06,168392,95
abc,111943.0152,64,96,0.001146789,3.54E-06,0.001150326,354,46490
ana,107769.5132,65,102,0.00111043,4.22E-06,0.001114646,422,45048
jay,107391.7633,66,97,0.001142148,9.39E-06,0.001151538,940,46539
cute,106909.1782,67,106,0.001092432,3.04E-06,0.001095469,304,44273
